,,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
2002,female,9887846.0,4179743.0,5267437.0,,5264218.0,2714208.0,2657304.0,30510073.0,42165633.0,5547887.0,5337873.0,143125.0,1954407.0,29406500.0,65047000.0,23655780.0,225230.0,51143166.0,8133318.0,2005120.0,2282132.0,19871665.0,5343969.0,2767030.0,20629952.0,4500683.0,3712121.0,,29753779.0,141943484.0
2002,male,9753133.0,3959567.0,5042288.0,,5005508.0,2654146.0,2537597.0,28827658.0,40274676.0,5440113.0,4836980.0,143450.0,1928276.0,27587242.0,62244000.0,23983838.0,218820.0,50683083.0,7971967.0,1934010.0,2241934.0,18760788.0,4991590.0,2611921.0,19779378.0,4408445.0,3549089.0,,28953126.0,135301432.0
2002,total,19640979.0,8139310.0,10309725.0,,10269726.0,5368354.0,5194901.0,59337731.0,82440309.0,10988000.0,10174853.0,286575.0,3882683.0,56993742.0,127291000.0,47639618.0,444050.0,101826249.0,16105285.0,3939130.0,4524066.0,38632453.0,10335559.0,5378951.0,40409330.0,8909128.0,7261210.0,,58706905.0,277244916.0
2003,female,9999199.0,4158169.0,5288959.0,15829173.0,5236563.0,2721084.0,2661379.0,30655533.0,42191801.0,5557795.0,5323906.0,144184.0,1994513.0,29554847.0,65185000.0,23799133.0,227291.0,51765793.0,8177101.0,2037900.0,2296145.0,19711782.0,5377218.0,2767855.0,21163499.0,4513681.0,3738824.0,34753495.0,30331409.0,146817188.0
2003,male,9873447.0,3909120.0,5066885.0,15532438.0,4966706.0,2662423.0,2544916.0,28974588.0,40344879.0,5448582.0,4818456.0,144287.0,1969123.0,27766223.0,62250000.0,24126185.0,221009.0,51274171.0,8015471.0,1971300.0,2256107.0,18506749.0,5030247.0,2611306.0,20387085.0,4427107.0,3575029.0,35418484.0,28930648.0,141957038.0
2003,total,19872646.0,8067289.0,10355844.0,31361611.0,10203269.0,5383507.0,5206295.0,59630121.0,82536680.0,11006377.0,10142362.0,288471.0,3963636.0,57321070.0,127435000.0,47925318.0,448300.0,103039964.0,16192572.0,4009200.0,4552252.0,38218531.0,10407465.0,5379161.0,41550584.0,8940788.0,7313853.0,70171979.0,59262057.0,288774226.0
2004,female,10100991.0,4190297.0,5309245.0,15834015.0,5236715.0,2727505.0,2666839.0,30789154.0,42175657.0,5576249.0,5312629.0,145169.0,2024954.0,29819637.0,65313000.0,23853954.0,228580.0,52368927.0,8212118.0,2064200.0,2308408.0,19704178.0,5408377.0,2768929.0,21543353.0,4529014.0,3762609.0,35023500.0,30506793.0,147773459.0
2004,male,9990513.0,3949825.0,5087176.0,15538572.0,4974740.0,2670135.0,2552893.0,29111526.0,40356014.0,5464401.0,4804113.0,145401.0,2002778.0,28068608.0,62307000.0,24228209.0,223020.0,51844576.0,8045914.0,1998300.0,2269049.0,18486430.0,5066308.0,2611124.0,20801989.0,4446656.0,3601539.0,35666000.0,29193035.0,143037260.0
2004,total,20091504.0,8140122.0,10396421.0,31372587.0,10211455.0,5397640.0,5219732.0,59900680.0,82531671.0,11040650.0,10116742.0,290570.0,4027732.0,57888245.0,127620000.0,48082163.0,451600.0,104213503.0,16258032.0,4062500.0,4577457.0,38190608.0,10474685.0,5380053.0,42345342.0,8975670.0,7364148.0,70689500.0,59699828.0,290810719.0
2005,female,10218321.0,4220228.0,5334527.0,16146667.0,5239664.0,2734113.0,2674534.0,32147490.0,42147222.0,5596119.0,5304434.0,146407.0,2062080.0,30085571.0,65390000.0,23947171.0,230260.0,52187289.0,8239547.0,2082670.0,2322293.0,19703582.0,5434916.0,2771332.0,21864746.0,4545081.0,3786406.0,35484500.0,30664861.0,149495099.0
2005,male,10121438.0,3986296.0,5111325.0,15842787.0,4980913.0,2677292.0,2562077.0,30371081.0,40353627.0,5486632.0,4793115.0,147170.0,2047093.0,28376804.0,62297000.0,24190906.0,224740.0,50814582.0,8065979.0,2017900.0,2284070.0,18470253.0,5094339.0,2613490.0,21173289.0,4466311.0,3628696.0,36123000.0,29394997.0,144947584.0
2005,total,20339759.0,8206524.0,10445852.0,31989454.0,10220577.0,5411405.0,5236611.0,62518571.0,82500849.0,11082751.0,10097549.0,293577.0,4109173.0,58462375.0,127687000.0,48138077.0,455000.0,103001871.0,16305526.0,4100570.0,4606363.0,38173835.0,10529255.0,5384822.0,43038035.0,9011392.0,7415102.0,71607500.0,60059858.0,294442683.0
2006,female,10348070.0,4246571.0,5367561.0,16303914.0,5248431.0,2741613.0,2683230.0,32390087.0,42098034.0,5617014.0,5292002.0,148689.0,2107143.0,30224823.0,65419017.0,24029575.0,236986.0,52708439.0,8256803.0,2101930.0,2338238.0,19703200.0,5453850.0,2773308.0,22196988.0,4561202.0,3806626.0,35945763.0,30817364.0,150913782.0
2006,male,10257418.0,4019354.0,5143821.0,15995582.0,5002648.0,2685846.0,2572350.0,30608686.0,40339961.0,5508165.0,4784579.0,151202.0,2101876.0,28526888.0,62348977.0,24267609.0,232100.0,51238427.0,8077407.0,2037540.0,2301981.0,18453855.0,5115742.0,2615872.0,21561262.0,4486550.0,3652502.0,36574211.0,29595506.0,146394361.0
2006,total,20605488.0,8265925.0,10511382.0,32299496.0,10251079.0,5427459.0,5255580.0,62998773.0,82437995.0,11125179.0,10076581.0,299891.0,4209019.0,58751711.0,127767994.0,48297184.0,469086.0,103946866.0,16334210.0,4139470.0,4640219.0,38157055.0,10569592.0,5389180.0,43758250.0,9047752.0,7459128.0,72519974.0,60412870.0,297308143.0
2007,female,10570420.0,4261752.0,5403126.0,16478759.0,5261005.0,2750422.0,2693213.0,32587979.0,42013740.0,5639693.0,5287080.0,151096.0,2118677.0,30412846.0,65440000.0,24112093.0,240395.0,53219640.0,8269478.0,2157580.0,2355346.0,19698704.0,5469158.0,2775353.0,22531907.0,4589734.0,3829380.0,35945763.0,30976313.0,152261670.0
2007,male,10444622.0,4037171.0,5181408.0,16170723.0,5026184.0,2696662.0,2583742.0,30804161.0,40301166.0,5532047.0,4779078.0,156576.0,2121171.0,28718441.0,62330000.0,24344276.0,235792.0,51654642.0,8088514.0,2070700.0,2325788.0,18426775.0,5129937.0,2618284.0,21942724.0,4523523.0,3679359.0,36574211.0,29805033.0,147922764.0
2007,total,21015042.0,8298923.0,10584534.0,32649482.0,10287189.0,5447084.0,5276955.0,63392140.0,82314906.0,11171740.0,10066158.0,307672.0,4239848.0,59131287.0,127770000.0,48456369.0,476187.0,104874282.0,16357992.0,4228280.0,4681134.0,38125479.0,10599095.0,5393637.0,44474631.0,9113257.0,7508739.0,72519974.0,60781346.0,300184434.0
2008,female,10770864.0,4277716.0,5442557.0,16601231.0,5298196.0,2763125.0,2703697.0,32770860.0,41943545.0,5659890.0,5275839.0,154563.0,2203852.0,30669543.0,65461000.0,24190904.0,244192.0,53723982.0,8293326.0,2176700.0,2377481.0,19704140.0,5478768.0,2777871.0,22926377.0,4619006.0,3866480.0,35209723.0,31145537.0,154509976.0
2008,male,10660917.0,4054214.0,5224309.0,16326141.0,5082934.0,2712666.0,2596787.0,30982280.0,40274292.0,5553895.0,4769562.0,160896.0,2197483.0,28949747.0,62310000.0,24415883.0,239607.0,52066743.0,8112073.0,2092180.0,2359690.0,18411501.0,5138807.0,2623127.0,22356882.0,4563921.0,3727014.0,35376533.0,30033723.0,150336755.0
2008,total,21431781.0,8331930.0,10666866.0,32927372.0,10381130.0,5475791.0,5300484.0,63753140.0,82217837.0,11213785.0,10045401.0,315459.0,4401335.0,59619290.0,127771000.0,48606787.0,483799.0,105790725.0,16405399.0,4268880.0,4737171.0,38115641.0,10617575.0,5400998.0,45283259.0,9182927.0,7593494.0,70586256.0,61179260.0,304846731.0
2009,female,10986535.0,4287213.0,5484429.0,16802833.0,5331165.0,2779431.0,2714661.0,33208315.0,41818073.0,5683662.0,5267925.0,157300.0,2235183.0,30892645.0,65441000.0,24265213.0,248665.0,54216256.0,8329391.0,2198270.0,2404199.0,19720950.0,5484684.0,2782450.0,23199728.0,4652637.0,3915181.0,35615946.0,31331174.0,154662649.0
2009,male,10888385.0,4068047.0,5268651.0,16524504.0,5136377.0,2732020.0,2611653.0,31158647.0,40184283.0,5576740.0,4763050.0,162068.0,2214847.0,29152423.0,62251000.0,24481480.0,244835.0,52466262.0,8156396.0,2117570.0,2395053.0,18414926.0,5142566.0,2629804.0,22628444.0,4603710.0,3786675.0,35901154.0,30263920.0,150464902.0
2009,total,21874920.0,8355260.0,10753080.0,33327337.0,10467542.0,5511451.0,5326314.0,64366962.0,82002356.0,11260402.0,10030975.0,319368.0,4450030.0,60045068.0,127692000.0,48746693.0,493500.0,106682518.0,16485787.0,4315840.0,4799252.0,38135876.0,10627250.0,5412254.0,45828172.0,9256347.0,7701856.0,71517100.0,61595094.0,305127551.0
2010,female,11218144.0,4296197.0,5527684.0,16807738.0,5349616.0,2791452.0,2726360.0,33384930.0,41698651.0,5707653.0,5257424.0,157694.0,2251410.0,31052925.0,65380000.0,24334223.0,252660.0,54696909.0,8371513.0,2223070.0,2431447.0,19738587.0,5489510.0,2787987.0,23316596.0,4691668.0,3955240.0,36098842.0,31518326.0,155915671.0
2010,male,11124254.0,4079093.0,5312221.0,16526676.0,5157197.0,2743286.0,2625067.0,31331380.0,40103606.0,5597465.0,4756900.0,159936.0,2216444.0,29287403.0,62130000.0,24540316.0,249406.0,52853788.0,8203476.0,2144670.0,2426752.0,18428742.0,5148203.0,2636938.0,22672420.0,4649014.0,3830566.0,36462470.0,30508636.0,151840906.0
2010,total,22342398.0,8375290.0,10839905.0,33334414.0,10506813.0,5534738.0,5351427.0,64716310.0,81802257.0,11305118.0,10014324.0,317630.0,4467854.0,60340328.0,127510000.0,48874539.0,502066.0,107550697.0,16574989.0,4367740.0,4858199.0,38167329.0,10637713.0,5424925.0,45989016.0,9340682.0,7785806.0,72561312.0,62026962.0,307756577.0
2011,female,11359807.0,4308915.0,4996609.0,17101813.0,5363971.0,2804046.0,2736860.0,33598633.0,41639177.0,5709818.0,5241821.0,158446.0,2301435.0,31213168.0,65730000.0,24837101.0,257221.0,55166362.0,8412317.0,2240560.0,2459456.0,19755664.0,5490336.0,2793033.0,23428062.0,4725326.0,3992708.0,36679806.0,31726030.0,157539944.0
2011,male,11260747.0,4095337.0,5370234.0,16826122.0,5168799.0,2756582.0,2638416.0,31531113.0,40112425.0,5600067.0,4743901.0,160006.0,2268429.0,29413274.0,62327000.0,24942339.0,254619.0,53229849.0,8243482.0,2164590.0,2460849.0,18444373.0,5146643.0,2642240.0,22724864.0,4690244.0,3877426.0,37043182.0,30772582.0,152449134.0
2011,total,22620554.0,8404252.0,10366843.0,33927935.0,10532770.0,5560628.0,5375276.0,65129746.0,81751602.0,11309885.0,9985722.0,318452.0,4569864.0,60626442.0,128057000.0,49779440.0,511840.0,108396211.0,16655799.0,4405150.0,4920305.0,38200037.0,10636979.0,5435273.0,46152926.0,9415570.0,7870134.0,73722988.0,62498612.0,309989078.0
2012,female,11402769.0,4324983.0,5622157.0,17379104.0,5347235.0,2813740.0,2748733.0,33723892.0,41637080.0,5699936.0,5226007.0,159211.0,2312938.0,31308292.0,65615000.0,24964884.0,263033.0,59163070.0,8447477.0,2253000.0,2486999.0,19883870.0,5511961.0,2772570.0,23719209.0,4756021.0,4032409.0,37191315.0,32115485.0,158635141.0
2012,male,11280804.0,4118035.0,5413801.0,17113541.0,5158210.0,2766776.0,2652534.0,31670391.0,40206663.0,5590131.0,4731724.0,160364.0,2269831.0,29512404.0,62184000.0,25039557.0,261820.0,56519797.0,8282871.0,2180100.0,2498871.0,18654577.0,5030437.0,2631752.0,23099012.0,4726834.0,3922253.0,37532954.0,31140669.0,153596908.0
2012,total,22683573.0,8443018.0,11035958.0,34492645.0,10505445.0,5580516.0,5401267.0,65394283.0,81843743.0,11290067.0,9957731.0,319575.0,4582769.0,60820696.0,127799000.0,50004441.0,524853.0,115682867.0,16730348.0,4433100.0,4985870.0,38538447.0,10542398.0,5404322.0,46818221.0,9482855.0,7954662.0,74724269.0,63256154.0,312232049.0
